product_id,title,brand,category,description
0011300000,Genuine Geovision 1 Channel 3rd Party NVR IP Software with USB Dongle Onvif PSIA,GeoVision,Surveillance DVR Kits > Electronics > Surveillance Systems > Camera &amp; Photo > Video Surveillance,"The following camera brands and models have been tested for compatibility with GV-Software.
GeoVision 	ACTi 	Arecont Vision 	AXIS 	Bosch 	Canon
CNB 	D-Link 	EtroVision 	HikVision 	HUNT 	IQEye
JVC 	LG 	MOBOTIX 	Panasonic 	Pelco 	Samsung
Sanyo 	Sony 	UDP 	Verint 	VIVOTEK 	 
 
Compatible Standard and Protocol
GV-System also allows for integration with all other IP video devices compatible with ONVIF(V2.0), PSIA (V1.1) standards, or RTSP protocol.
ONVIF 	PSIA 	RTSP 	  	  	 
Note: Specifications are subject to change without notice. Every effort has been made to ensure that the information on this Web site is accurate. No liability is assumed for incidental or consequential damages arising from the use of the information or products contained herein."
0101635370,abcGoodefg&reg; 4GB USB 2.0 Mp3 Music Player with Fm Radio Function Voice,Crazy Cart,Portable Audio & Video > Electronics > MP3 & MP4 Players,Support system: Windows XP/Vsita/7 * SNR: 85dB * Power Supply: 1 x AAA battery(not included) * Dimensions: (9.5 x 2.8 x 1.5) cm/ (3.74 x 1.10 x 0.59) inch (L x W x H) * Color: Red * Package includes: - 1 x 4GB MP3 Player With FM Function Red - 1 x Earphone
0132793040,Kelby Training DVD: Mastering Blend Modes in Adobe Photoshop CS5 By Corey Barker,Kelby Training,Computers &amp; Accessories > Computer Accessories &amp; Peripherals > Electronics,
0205291252,Practical Modern Basketball (3rd Edition),John R. Wooden,Electronics > Accessories &amp; Supplies," This book is a must-have for every coach and player! <br />* Covers the fundamentals and style of team play, emphasizing the delicate balance between the simplistic reality and incredibly demanding effort of the game <br />* Includes a new introduction by Bill Walton <br />* Includes new, updated photos <br /> Coach Wooden, more than anything else, is a teacher. Basketball just happens to be his subject. This book outlines a pattern, a theory, a strategy, and a course for how to develop as a basketball player and as a person. It organizes and dispenses the knowledge that Coach Wooden has accumulated over a lifetime in the game of basketball. It gives the reader an understanding of the delicate balance of the simple reality of the game and the incredibly demanding effort and dedication needed to master basketball. This timeless book will help everyone who is interested in improving their life and their basketball game. This book is so well thought out, well planned, well organized, and well written that it is perfectly applicable thirty-two years after its first publication. Reading it will make you feel like a member of the team. John Wooden was a teacher and coach at UCLA for 27 years.  <b>John Wooden</b> was a teacher and coach at UCLA for 27 years.  "
0246003235,SAMSUNG Evo Plus 64 GB MicroSDXC Class 10 80 MB/s Memory Card,Samsung,Electronics > Computers &amp; Accessories > Memory Cards > Computer Accessories &amp; Peripherals > Micro SD Cards,"Brand SAMSUNG Speed 80 MB/s Read Speed, 20 Write Speed Card Class Class 10 Memory Card Type MicroSDXC Card Type MicroSDHC Model ID MB-MC64DA/IN Memory size 64 GB POWER &amp; OPERATING REQUIREMENTS Power Requirement 2.7 - 3.6 V Storage Humidity 93 % Operating Temperature -25  C - 85  C"
0303532572,TDK Hi8 MP120 Premium Performance Camcorder Videotape (6-pack),TDK Electronics Corp,Hi-8 > Electronics > Blank Video Media > Accessories > Camera &amp; Photo,TDK Hi8 MP120 Premium Performance Camcorder Videotapes (6-pack).
0302643370,The Lord of the Rings: Return of the King - Extended Edition,WB,Electronics > Accessories &amp; Supplies,"While Frodo &amp; Sam continue to approach Mount Doom to destroy the One Ring, unaware of the path Gollum is leading them, the former Fellowship aid Rohan &amp; Gondor in a great battle in the Pelennor Fields, Minas Tirith and the Black Gates as Sauron wages his last war against Middle-Earth."
0323230008,Genuine Geovision 32 Channel 3rd Party NVR IP Software USB Dongle Onvif PSIA,GeoVision,Surveillance Cameras > Dome Cameras > Electronics > Camera &amp; Photo > Video Surveillance,"The following camera brands and models have been tested for compatibility with GV-Software.
GeoVision 	ACTi 	Arecont Vision 	AXIS 	Bosch 	Canon
CNB 	D-Link 	EtroVision 	HikVision 	HUNT 	IQEye
JVC 	LG 	MOBOTIX 	Panasonic 	Pelco 	Samsung
Sanyo 	Sony 	UDP 	Verint 	VIVOTEK 	 
 
Compatible Standard and Protocol
GV-System also allows for integration with all other IP video devices compatible with ONVIF(V2.0), PSIA (V1.1) standards, or RTSP protocol.
ONVIF 	PSIA 	RTSP 	  	  	 
Note: Specifications are subject to change without notice. Every effort has been made to ensure that the information on this Web site is accurate. No liability is assumed for incidental or consequential damages arising from the use of the information or products contained herein."
0511189877,CLIKR-5 Time Warner Cable Remote Control UR5U-8780L,URC,Remote Controls &amp; Accessories > Remote Controls > Audio &amp; Video Accessories > Electronics > Accessories &amp; Supplies,"The CLIKR-5 UR5U-8780L remote control is designed to operate the CISCO/SA, Pioneer, Pace Micro, Samsung and Motorola digital set tops.  Plus the majority of TV, VCR, DVD and AUX equipment on the market as follows: Cable Set-top Boxes, VCRs and TV/VCRs, Televisions, DVD Players, Audio Equipment, Media PC, etc.


Contact Information
for MSO's
Let's discuss your needs in detail.
 
Time Warner Cable CLIKR-5 

Interactive Tutorial - English and Spanish 

Programming Instructions and Codes - English 

The Time Warner Cable CLIKR-5 is designed to offer complete control for all digital, HD and DVR set-top boxes. The UR5U-8780L is factory programmed to operate Scientific Atlanta/Cisco and Samsung set-top boxes while the UR5U-8790L is factory programmed for Motorola set-top boxes. In addition to the set-top box the CLIKR-5 can also control TV's, VCR's, DVD players and Auxiliary equipment such as audio receivers and home theater systems. The Time Warner Cable CLIKR-5 features a fully backlit keypad and upgradeability. 

Features and Benefits: 

	-Tru2way / OCAP compliant
	-Control up to 5 devices
	-64-K chip pre-loaded with the  largest code library in the industry
	Three factory-programmed macro keys (Dedicated ON DEMAND button, M1, M2)
	Customizable System Power button
	Illuminated mode buttons
	Full keypad backlighting featuring exclusive 'night vision' red illumination
	'Sure Touch' cursor navigation pad
	The industry's simplest &amp; quickest device code programming
	Quick programming instructions on back case
	Memory Lock retains programmed memory for 10 years even with Batteries removed
	Interactive, bi-lingual CD Tutorials for CSR, Tech &amp; Installer training &amp; reference
	Barcode label in battery compartment with easily identifiable manufacturer date code

Specifications 

  Size: 2.875""(W) x 8.5""(L) x 1.125""(D) 
  Weight: 4.1 oz 
  Power Supply: 2 x AA Batteries"
0528013475,Rand McNally RV Tablet 80,Rand McNally,"Electronics > GPS, Finders & Accessories > GPS System Accessories","Award-winning navigation and features of Rand McNally's RV GPS devices, plus an Android operating system Award-winning navigation and features of Rand McNally's RV GPS devices, plus an Android operating system"
