,product_id,title,brand,category,description,price
0,0132492776,Wireless Bluetooth Headphones Earbuds with Microphone in Ear Headphones Noise Cancelling Earbuds with Mic Sweatproof Bluetooth Earphones Stereo Headset for Running Workout Gym Sports Secure Fit Case,Enter The Arena,Electronics > Headphones > Earbud Headphones,"<b>True High Definition Sound:</b><br>With CVC 6.0 noise cancellation technology, Safari bluetooth headphone intelligently filters out background noise for sound transmission in busy and noisy environments. The latest Bluetooth 4.1 technology features faster & stable signal, clearer sound quality and lower power consumption.<br><br><b>Sweat Proof Protection:</b><br>IPX7 water resistant material prevents headphone damage when you are getting drenched in sweat after a grueling workout.<br><br><b>Long Battery Life:</b><br>Up to 6 hours of continuous music/talk time and up to 100 hours of standby with a single charge so you can spend more time listening to music and less time charging.<br><br><b>Stylish and Ergonomic Design:</b><br>With a choice between small, medium or large size ear tips, you are bound to have a secure fit that stays in place whether you are running or working out.<br><br><b>Universally Compatible:</b><br>Works with all bluetooth enabled devices.",$7.99
1,0558835155,Polaroid Pbm2200 PC / Gaming Stereo Headphones With Microphone &amp; In-line Volume,Polaroid,Electronics > Headphones,Use these high quality headphones for internet chatting and enjoy the comfort and ease of the headphones with the microphone and in-line volume control.Works with: Skype msn AIM YAHOO! Windows Live,
2,0594478162,Official Nook Audio Ie250 Earphones,Nook,Electronics > Headphones > Earbud Headphones,Barnes and noble official nook earphones.,
3,0594451647,Barnes &amp; Noble HDTV Adapter Kit for NOOK HD and NOOK HD+,Barnes &amp; Noble,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,"HDTV Adapter Kit for NOOK HD and NOOK HD+
This handy kit enables you to stream content from your NOOK HD or NOOK HD+ to a high-definition TV, via the included adapter and High Speed HDMI Cable. The kit also includes a pass-through that allows you to charge your NOOK while streaming, so there's no danger of running out of battery power before you're done. (A compatible NOOK Power Kit is required for this function and is not included with the adapter kit.)",$1.46
4,0594643058,Desktop Dock for Samsung Galaxy Tab 4,Samsung,Electronics > Computers &amp; Accessories > Tablet Accessories > Chargers &amp; Adapters,"The Desktop Dock is the perfect solution for hands-free use of your tablet. Made of sturdy molded plastic, it has rubberized pads on the bottom to ensure stability on your desktop. When connected to your computer's USB port, it enables you to charge the tablet while surfing the Web, reading a book, checking your email, or watching a movie, all at the most comfortable angle. It also has a standard 3.5mm stereo audio output for connecting to an external speaker or your home stereo system. Dimensions: 4.1""W x 1.8""H x 3.8""D Weight: 5.9 oz. Connections: 5-pin micro-USB type B; audio line-out; mini-phone stereo 3.5 mm. Cable not included Suitable for Samsung GALAXY Tab 4 nook, GALAXY Pro 8.4, GALAXY Pro 10.1 Imported",
5,0597184054,SCM Microsystems SCR338 USB Smart Card Keyboard,Scm Microsystems,"Electronics > Computers &amp; Accessories > Computer Accessories &amp; Peripherals > Keyboards, Mice &amp; Accessories > Keyboards","The SCR338 is part of the SCR33x product family based on SCM Microsystems' STC II micro controller. This device leverages the experience and scale realized by volume shipments of similar STC II based PC peripherals to offer a cost-effective, single-chip solution. The SCR338 supports secure PIN entry, which means, PIN authentication without transmitting the PIN to the host system. In addition, the SCR338 is the industry's first to offer on-board flash. This enables future firmware and application enhancements that guarantee against obsolescence. The SCR338 offers the best price/performance ratio in the market.",
6,0646531158,In Search of Tom Bowen and the Therapy He Inspired and Lots of Other Stuff,Fitquipment,Electronics > Headphones,The first ever fully researched history of Tom Bowen and Bowen Therapy/Technique,
7,0684873176,"The Mutineer: Rants, Ravings, and Missives from the Mountaintop 1977-2005",Enter The Arena,Electronics > Headphones > Earbud Headphones,"<b>True High Definition Sound:</b><br />With CVC 6.0 noise cancellation technology, Safari bluetooth headphone intelligently filters out background noise for sound transmission in busy and noisy environments. The latest Bluetooth 4.1 technology features faster &amp; stable signal, clearer sound quality and lower power consumption.<br /><br /><b>Sweat Proof Protection:</b><br />IPX7 water resistant material prevents headphone damage when you are getting drenched in sweat after a grueling workout.<br /><br /><b>Long Battery Life:</b><br />Up to 6 hours of continuous music/talk time and up to 100 hours of standby with a single charge so you can spend more time listening to music and less time charging.<br /><br /><b>Stylish and Ergonomic Design:</b><br />With a choice between small, medium or large size ear tips, you are bound to have a secure fit that stays in place whether you are running or working out.<br /><br /><b>Universally Compatible:</b><br />Works with all bluetooth enabled devices.",
8,0692206280,Bluetooth Workout Headphones for Running and Gym with Wireless Earbuds and Built in Mic for Hands Free Calling by Arena Club,Enter The Arena,Electronics > Headphones > Earbud Headphones,"<b>True High Definition Sound:</b><br>With CVC 6.0 noise cancellation technology, Safari bluetooth headphone intelligently filters out background noise for sound transmission in busy and noisy environments. The latest Bluetooth 4.1 technology features faster & stable signal, clearer sound quality and lower power consumption.<br><br><b>Sweat Proof Protection:</b><br>IPX7 water resistant material prevents headphone damage when you are getting drenched in sweat after a grueling workout.<br><br><b>Long Battery Life:</b><br>Up to 6 hours of continuous music/talk time and up to 100 hours of standby with a single charge so you can spend more time listening to music and less time charging.<br><br><b>Stylish and Ergonomic Design:</b><br>With a choice between small, medium or large size ear tips, you are bound to have a secure fit that stays in place whether you are running or working out.<br><br><b>Universally Compatible:</b><br>Works with all bluetooth enabled devices.",
9,0692459626,Pursey's FPIES Surprise,Kaylee Page,Electronics > Headphones,"Kaylee Page sits on the executive board of the International FPIES Association (I-FPIES). She is a featured blogger at I-FPIES offering her perspective on life with FPIES in an ongoing series. Her essay Stillness in the Shadow can be found in It Is a Good Thing Children Are a Treasure: They have Broken All My Other Ones. Post-graduation, Kaylee spent 10.5 months in AmeriCorps aiding those affected by natural disasters at the Red Cross Greater Carolinas Chapter. Upon returning to the mid-west she worked as Project Manager for C2 Media Productions producing curriculums for Zondervan Publishing. She later joined the team at Pomegranate Studios working on projects such as ArtPrize and 55 Night. Her current work is Project Manager at Start Garden; building up the start up ecosystem in the Mid West region. Kaylee spends evenings at the Children's Healing Center playing with children with compromised immune systems. Kaylee's four great loves are her bright-spirited daughter Bella, books, new recipes and living room dance parties.",
